"NAVDate","NAVPrice","NAVCurrency","AUMSize","AUMCurrency"
"06 juin 2024","107,1700","EUR","342,5051M","EUR"
"05 juin 2024","106,5400","EUR","340,5016M","EUR"
"04 juin 2024","105,6300","EUR","337,5445M","EUR"
"03 juin 2024","106,0100","EUR","338,7503M","EUR"
"31 mai 2024","105,6000","EUR","337,4235M","EUR"
"30 mai 2024","105,2900","EUR","336,3781M","EUR"
"29 mai 2024","104,8000","EUR","334,7855M","EUR"
"28 mai 2024","106,0600","EUR","338,8217M","EUR"
"27 mai 2024","106,6400","EUR","340,7410M","EUR"
"24 mai 2024","106,3100","EUR","339,7232M","EUR"
"23 mai 2024","106,5800","EUR","340,6263M","EUR"
"22 mai 2024","106,5700","EUR","340,6882M","EUR"
"21 mai 2024","106,5800","EUR","340,7078M","EUR"
"17 mai 2024","106,2300","EUR","339,6335M","EUR"
"16 mai 2024","106,4500","EUR","340,3114M","EUR"
"15 mai 2024","106,4600","EUR","340,3252M","EUR"
"14 mai 2024","105,9300","EUR","338,6836M","EUR"
"13 mai 2024","105,7600","EUR","338,1881M","EUR"
"10 mai 2024","105,7000","EUR","338,1622M","EUR"
"08 mai 2024","104,3600","EUR","333,7852M","EUR"
"07 mai 2024","103,9400","EUR","332,5543M","EUR"
"06 mai 2024","102,6000","EUR","328,3290M","EUR"
"03 mai 2024","102,0200","EUR","326,4671M","EUR"
"02 mai 2024","101,7600","EUR","325,5655M","EUR"
"30 avr. 2024","101,7800","EUR","325,6333M","EUR"
"29 avr. 2024","102,3200","EUR","327,3265M","EUR"
"26 avr. 2024","102,2800","EUR","327,2073M","EUR"
"25 avr. 2024","101,2400","EUR","323,8449M","EUR"
"24 avr. 2024","101,5500","EUR","324,9056M","EUR"
"23 avr. 2024","101,9600","EUR","326,2999M","EUR"
"22 avr. 2024","100,7800","EUR","322,3683M","EUR"
"19 avr. 2024","100,1400","EUR","320,3913M","EUR"
"18 avr. 2024","100,2500","EUR","320,7410M","EUR"
"17 avr. 2024","99,8000","EUR","319,3224M","EUR"
"16 avr. 2024","100,0600","EUR","320,2338M","EUR"
"15 avr. 2024","101,4400","EUR","324,6293M","EUR"
"12 avr. 2024","101,3400","EUR","324,4874M","EUR"
"11 avr. 2024","101,3200","EUR","324,4400M","EUR"
